,price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits,ty_visits,category_basket,category_favored,w_day,Month,weeknumber
,59.99,18/06/2021,73318567,46,7015,485,186,5860,3459,788525,91784941,29529,66037,Fri,Jun,24
,61.56,17/06/2021,73318567,68,8220,559,245,6726,3998,918671,102409626,33838,78801,Thu,Jun,24
,59.99,16/06/2021,73318567,72,8548,574,365,6044,4296,830677,105918459,29629,68988,Wed,Jun,24
,59.99,15/06/2021,73318567,44,8585,531,188,6007,4470,839150,103541571,29324,64562,Tue,Jun,24
,59.99,14/06/2021,73318567,67,10221,675,350,6707,5177,913292,107738598,33397,72409,Mon,Jun,24
,61.16,13/06/2021,73318567,44,10354,759,196,5980,3803,1132270,124336805,36258,98006,Sun,Jun,23
0,59.99,12/06/2021,73318567,39,6749,536,198,4206,2859,751079,94869229,23670,67518,Sat,Jun,23
1,62.45,11/06/2021,73318567,44,6745,512,190,4436,2965,687978,97396151,24678,56982,Fri,Jun,23
2,60.97,10/06/2021,73318567,56,7314,461,284,4467,2992,719350,108667708,25809,57717,Thu,Jun,23
3,61.52,09/06/2021,73318567,36,6507,410,144,5013,3094,830032,111697887,31428,69681,Wed,Jun,23
4,59.99,08/06/2021,73318567,59,7556,604,252,5586,3444,939267,102143446,32786,82923,Tue,Jun,23
5,59.99,07/06/2021,73318567,53,8335,750,318,5390,3272,885725,100674727,30789,75584,Mon,Jun,23
6,59.99,06/06/2021,73318567,23,9567,742,160,5809,3105,1198469,122742173,40537,105682,Sun,Jun,23
7,59.99,05/06/2021,73318567,58,7339,459,306,4300,2545,818209,99529251,30403,70345,Sat,Jun,23
8,59.99,04/06/2021,73318567,63,7477,457,348,4840,3111,747144,109059369,27990,60789,Fri,Jun,23
9,59.99,03/06/2021,73318567,106,10033,639,372,5636,4078,797747,131753581,26435,66458,Thu,Jun,22
10,60.29,02/06/2021,73318567,134,12866,891,542,6200,4468,886339,143524682,29286,79958,Wed,Jun,22
11,59.99,01/06/2021,73318567,196,16532,1262,738,7367,5265,1061054,156205012,37356,99414,Tue,Jun,22
12,60.66703726,31/05/2021,73318567,175,20256,1960,965,5198,3665,1010634,125439876,33728,96699,Mon,May,22
13,60.12982909,30/05/2021,73318567,286,45833,5011,1735,5789,4100,1335060,131821083,37958,135551,Sun,May,22
14,60.16539965,29/05/2021,73318567,228,33967,3389,1226,5897,4299,1150523,129670029,34901,110888,Sat,May,22
15,60.40227959,28/05/2021,73318567,194,20810,1467,829,3430,70466,4671,103514886,785823,25551,Fri,May,22
16,60.35379888,27/05/2021,73318567,214,21037,1590,914,3593,76298,5003,107391579,840232,28579,Thu,May,21
17,59.99,26/05/2021,73318567,172,16558,1341,639,3123,67756,4470,106195988,744813,22991,Wed,May,21
18,60.20580158,25/05/2021,73318567,177,18787,1786,724,3010,72008,4416,107004119,750394,23528,Tue,May,21
